#{"t_start": 1754592836.6638713, "env_id": "None"}
r,l,t
42.326368,10,108.492821
56.846369,12,108.502629
49.672547,11,108.512
47.419703,10,108.519979
14.533613,4,108.523257
5.032395,2,108.524903
106.248894,22,108.542865
35.14264,8,108.549806
39.942141,9,108.556938
30.204517,7,108.563077
88.197458,19,108.578247
68.625769,15,108.590128
45.053186,10,108.598219
48.422896,11,108.606978
113.028441,23,108.625737
111.809554,23,108.644304
4.9378,2,108.645974
5.094979,2,108.647631
73.384658,16,108.661005
47.612542,11,108.669797
119.60526,25,108.689845
48.427592,11,108.698838
80.243749,17,108.71234
39.978503,9,108.719523
4.976971,2,108.721214
34.325882,8,108.727885
48.062172,11,108.736758
28.899838,7,108.742329
43.10722,10,108.751145
66.690097,14,108.762574
105.172088,22,108.780161
117.885718,25,108.800021
14.700828,4,108.803298
113.683445,24,108.822437
61.268787,13,108.83284
10.125191,3,108.835424
5.056138,2,108.837086
49.009964,11,108.84612
4.983517,2,108.847787
59.592718,13,108.858272
77.221199,16,108.871125
88.955671,19,108.887076
46.765236,10,108.895315
45.856501,10,108.903332
64.327906,14,108.914617
62.521777,13,108.924974
25.078915,6,108.930302
71.879925,15,108.942306
151.990614,31,108.967264
10.254562,3,108.969721
4.967567,2,108.97151
44.338098,10,108.979819
47.978481,11,108.988556
62.904763,14,109.000069
20.376681,5,109.004286
49.325244,11,109.013708
51.162621,11,109.022701
106.756571,23,109.041274
85.183359,18,109.967356
63.02307,14,109.980084
5.031026,2,109.981941
30.313756,7,109.988109
59.47757,13,109.999609
69.36373,15,110.012506
24.924882,6,110.017699
48.190287,11,110.027201
83.802472,18,110.042042
87.255562,19,110.058729
55.900004,12,110.069381
108.699814,23,110.088755
15.015721,4,110.092216
48.150001,11,110.101752
133.723945,28,110.125645
9.873455,3,110.12884
42.694057,10,110.137486
47.357245,11,110.147188
42.991882,10,110.156127
71.124382,15,110.16933
85.049332,18,110.184478
38.948608,9,110.19207
65.990983,14,110.204051
87.351091,19,110.220463
62.91087,13,110.231718
68.546737,15,110.244717
51.996723,11,110.254205
68.364933,15,110.267263
72.676375,15,110.280466
127.43172,26,110.302771
68.852482,15,110.315832
4.98838,2,110.317536
5.054493,2,110.319243
92.541441,20,110.336059
129.512328,27,110.358722
131.155893,28,110.382439
35.707838,8,110.389225
74.032375,16,110.402817
56.157597,12,110.41296
144.529934,30,110.437847
5.012295,2,110.439753
5.062834,2,110.441516
57.518781,12,110.45183
4.865292,2,110.453631
77.571359,17,110.467933
98.102417,21,110.485962
43.130463,10,110.494605
49.606909,11,110.503817
49.2098,11,110.513288
104.00023,22,110.531673
26.010022,6,110.536712
84.027779,18,110.552357
96.941247,20,110.569079
105.195457,22,110.587664
5.058408,2,110.589383
47.413936,11,110.59885
77.734915,17,110.613004
96.693716,20,110.62999
119.777878,25,110.651124
5.057574,2,110.652959
83.713682,18,110.668242
48.467526,11,110.677984
61.129999,13,110.688864
34.844082,8,110.695967
68.73767,15,110.708334
34.237085,8,110.715263
74.970101,16,110.728832
84.758203,18,110.743883
9.892016,3,110.746598
50.9641,11,110.756024
5.034017,2,110.757782
138.453006,29,110.782501
75.286887,16,110.796139
10.218401,3,110.798759
191.196942,39,110.831696
68.766639,15,110.844574
72.913949,16,110.858302
69.267963,15,110.871157
44.254749,10,110.879704
26.050722,6,110.884816
41.042355,9,110.892511
53.686194,12,110.903002
42.725901,10,110.91169
80.028337,17,110.925791
24.680259,6,110.931202
30.277377,7,110.937344
155.927942,32,110.964367
62.570323,13,110.97574
10.088741,3,110.978435
5.057741,2,110.980181
165.368498,34,111.009382
5.076344,2,111.011406
23.9049,6,111.016495
38.778125,9,111.024109
80.070141,17,111.038767
49.155311,11,111.048076
138.978557,29,111.073026
33.690328,8,111.080113
35.537364,8,111.087171
98.900669,21,111.104625
57.658015,13,111.115595
94.355238,20,111.132516
105.212351,22,111.151285
78.585036,17,111.165532
63.330192,14,111.177665
65.237791,14,111.189339
79.582389,17,111.203655
4.955498,2,111.205492
49.303135,11,111.214654
33.893534,8,111.221382
77.872273,17,111.235771
42.257617,9,111.243672
20.925661,5,111.248166
73.522004,16,111.262204
46.100348,10,111.270822
123.924213,26,111.293201
58.046026,13,111.304269
38.769999,9,111.312081
63.864918,14,111.324239
5.012254,2,111.326131
89.391048,19,111.342699
63.166691,14,111.354858
100.970498,21,111.372612
60.375438,13,111.383746
49.824424,11,111.392937
87.954019,19,111.408962
48.14515,11,111.418395
75.100317,16,111.431701
33.192067,8,111.438364
49.792132,11,111.447873
15.407643,4,111.451498
87.595954,19,111.467534
79.046955,17,111.482183
30.722199,7,111.488048
63.683237,14,111.499985
38.587809,9,111.507591
