#{"t_start": 1754656415.784797, "env_id": "None"}
r,l,t
26.132672,20,434.217019
18.048433,27,434.245777
16.291278,19,434.262334
10.462882,29,434.289154
15.349145,17,434.303917
16.127184,19,434.322133
35.116797,21,434.340388
18.046072,15,434.353465
11.397884,15,434.367923
32.638587,43,434.4102
20.324962,21,434.428125
10.154775,20,434.446718
8.43778,12,434.457392
24.455932,20,434.474749
27.637897,31,434.503392
9.850964,13,434.514623
11.796321,14,434.528056
8.318921,16,434.543649
17.644381,15,434.558705
8.784387,14,434.572174
19.493151,19,434.588957
17.523574,22,434.609569
35.943625,47,434.651752
14.052057,28,434.681762
23.216139,21,434.700265
28.211721,30,434.727571
14.09394,16,434.741538
37.57866,30,434.768667
22.970133,20,434.786572
10.323104,21,435.00437
18.752289,22,435.024326
12.180207,26,435.05309
19.958071,19,435.069885
31.542478,26,435.095499
36.589415,35,435.128406
13.816328,30,435.157336
36.192077,44,435.198012
33.507723,27,435.222883
17.92103,16,436.255978
27.723026,31,436.284534
43.803066,40,436.321894
17.889707,38,436.357278
5.009208,11,436.367652
7.627971,17,436.383208
8.862634,14,436.396949
18.730268,36,436.430627
9.619291,20,436.448883
27.486648,22,436.469207
19.482208,20,436.486878
5.757927,13,436.499975
39.478036,28,436.525392
31.979567,30,436.553202
25.567832,21,436.572305
44.470633,53,436.621467
9.814904,19,436.639124
19.785544,31,436.667406
29.283143,21,436.686392
29.841032,25,436.710315
17.504823,22,436.730037
33.670624,36,436.761135
17.999322,27,436.784212
32.969036,26,436.807121
12.039725,13,436.818514
21.186824,17,436.83365
53.860825,53,436.878741
46.360174,35,436.909724
15.177505,25,436.931429
12.505519,19,436.947763
24.767829,23,436.967598
22.64038,14,436.979647
26.377818,24,437.000902
33.357675,32,437.028201
9.46197,11,437.037808
37.020843,45,437.075928
22.003249,21,437.094471
26.631963,27,437.1177
20.393858,17,437.132103
59.285936,64,437.186386
16.584872,20,437.204132
16.536139,13,437.215272
18.775273,15,437.228083
8.253378,9,437.236027
45.849298,34,437.264611
14.05568,18,437.279982
31.163836,32,437.307904
11.751181,24,437.328614
27.833822,28,437.352671
25.379662,34,437.381742
28.820509,22,437.401113
16.012533,25,437.422307
109.545348,102,437.509667
9.375949,22,437.528554
19.14146,20,437.54553
85.163454,64,437.600528
34.641214,22,437.619672
6.323656,7,437.625728
25.796456,28,437.649835
22.13562,26,437.672102
14.382208,24,437.693218
12.124334,17,437.708377
10.509897,17,437.724564
22.466895,42,437.76044
40.612867,42,437.797146
17.720494,23,437.816968
46.339886,33,437.84616
29.356566,22,437.865136
19.755441,9,437.872921
47.614718,48,437.914839
9.628115,16,437.928819
16.208344,18,437.944476
15.913557,16,437.958117
7.891615,17,437.972668
40.974057,42,438.009352
26.939841,39,438.043957
37.287661,37,439.005547
30.76919,24,439.026371
15.984675,21,439.044551
44.845048,54,439.09059
28.258888,16,439.104756
13.54202,22,439.123702
46.472548,61,439.17564
2.172637,14,439.187703
9.303645,16,439.201294
27.485235,17,439.216664
37.954319,37,439.24818
12.674683,8,439.255183
18.510499,27,439.279237
18.09736,18,439.294931
14.296858,20,439.312922
85.144498,112,439.412335
39.09904,51,439.456661
33.512046,36,439.487541
28.677194,26,439.510503
30.648303,37,439.542408
21.812763,28,439.566381
19.089973,19,439.582755
50.088517,43,439.619674
16.323441,26,439.641865
17.611374,21,439.659911
74.541456,72,439.723513
20.701892,22,439.742374
11.553491,10,439.751108
13.159194,22,439.769966
35.627215,32,439.796904
28.74446,48,439.838736
23.887408,28,439.86253
44.682182,48,439.903669
18.529697,31,439.930416
15.728126,14,439.942672
13.156399,21,439.960482
18.963983,28,439.984204
44.401291,36,440.014929
48.79983,56,440.062497
7.206065,12,440.072675
17.294445,32,440.101887
16.899264,12,440.112568
19.347133,12,440.122679
20.740107,24,440.143282
23.814058,18,440.158495
43.666513,35,440.188049
20.104824,30,440.214323
24.981382,35,440.244306
22.620965,15,440.257099
11.181026,22,440.275924
24.071461,18,440.291075
30.230758,26,440.313642
18.203617,29,440.338553
36.851525,30,440.364075
35.713312,39,440.396976
16.692814,21,440.415185
26.621829,16,440.42887
14.348118,17,440.443453
12.455663,19,440.459589
34.914102,31,440.485953
31.357394,29,440.510807
25.933895,21,440.529109
23.822517,29,440.553636
23.309335,27,440.576597
18.05865,22,440.595465
18.028431,19,440.61147
19.143646,20,440.628778
59.482014,85,440.701389
43.351817,28,440.726828
60.302616,53,441.717327
26.939322,24,441.739195
53.707786,48,441.784604
27.263318,25,441.808147
30.276329,44,441.847894
19.431752,18,441.864317
24.535752,23,441.884955
33.738585,39,441.920794
23.160116,31,441.948301
17.32125,14,441.960618
89.656653,85,442.036511
39.083903,29,442.062609
40.429704,43,442.100336
31.213216,38,442.134464
17.352345,30,442.160887
14.230206,26,442.184247
20.899209,22,442.203894
20.87936,41,442.240531
19.630627,23,442.260851
25.925842,37,442.293817
93.396427,99,442.382967
33.851705,44,442.422607
28.990513,21,442.441357
18.410364,14,442.453949
11.953458,18,442.469801
22.323275,13,442.481247
36.111313,23,442.50164
22.797001,23,442.522538
18.034394,25,442.544971
17.603268,29,442.570842
33.690159,44,442.609839
32.452203,24,442.631497
22.351443,24,442.652725
7.162931,17,442.667932
28.327206,29,442.693751
12.609817,10,442.702655
18.048995,34,442.734365
22.964444,24,442.755532
14.411002,18,442.771491
27.076487,41,442.80897
12.756097,19,442.826538
20.40089,31,442.854311
54.284576,53,442.901236
25.859536,33,442.93041
8.4191,25,442.952154
29.308023,35,442.982503
14.365795,15,442.995688
6.845098,23,443.015962
43.901873,60,443.068174
14.176529,21,443.086429
38.326984,61,443.139925
53.028476,53,443.188605
50.1833,63,443.248618
24.361435,22,443.272994
23.444099,16,443.290529
15.871851,19,443.311268
68.263503,62,443.367838
11.520078,14,443.380399
17.219258,19,443.397323
28.989701,35,443.429059
22.207978,27,443.452983
39.272597,33,443.482032
24.713648,23,443.502584
25.615902,27,443.526517
27.768244,45,444.531028
35.023714,27,444.555745
31.466129,30,444.583171
9.927919,19,444.601097
30.976815,21,444.620309
15.191736,30,444.647753
25.689978,32,444.677572
56.69347,72,444.743531
42.513438,43,444.78143
33.543952,30,444.808141
38.231719,30,444.834599
29.601426,33,444.864608
24.912427,27,444.890622
27.057168,21,444.909851
41.35835,61,444.964677
17.381412,16,444.978979
35.845596,39,445.013492
34.475013,48,445.056129
15.358929,20,445.073884
23.897147,25,445.097617
33.097102,40,445.132531
43.079008,31,445.160387
75.646088,73,445.224075
6.622121,7,445.230257
29.181371,21,445.249096
41.999501,38,445.282345
51.266147,54,445.330104
86.570533,77,445.397772
34.645138,24,445.418884
26.309079,22,445.438099
48.481551,51,445.48802
81.119773,98,445.574499
20.62514,33,445.603844
18.030122,27,445.62767
28.030902,24,445.64922
21.882688,18,445.66488
22.666696,28,445.689545
5.754403,17,445.704382
24.958798,24,445.731103
36.511685,37,445.768027
18.660236,24,445.79145
23.34417,23,445.813882
7.365635,13,445.82639
39.019465,34,445.861777
26.466916,32,445.893737
2.296931,12,445.905941
43.072382,50,445.955974
16.405038,13,445.968814
71.933461,56,446.023345
123.06604,118,446.139125
40.034754,38,446.176502
25.189189,18,446.194291
